TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;IS_PRIMARY_KEY_NUM;TIPO;MANTENER;INDICE_REFERENCIA;BENEFICIO
RentaEncasillamiento;aaaRentaEncasillamiento_PK;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.132812;0.09375;Rut;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaRentaEncasillamiento_PK;
RentaEncasillamiento;Codigo_TDP;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.039062;0.039062;Rut;0.0;NO USO;0;INDEX;Duplica aaaRentaEncasillamiento_PK;aaaRentaEncasillamiento_PK;Liberar 0.039062MB, - 0.0 ops. de escritura
Asignaciones_Transparencia;aaaAsignaciones_Transparencia_PK;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.101562;0.046875;Id_Haber;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaAsignaciones_Transparencia_PK;
Asignaciones_Transparencia;Id_Haber;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Haber;0.0;NO USO;0;INDEX;Duplica aaaAsignaciones_Transparencia_PK;aaaAsignaciones_Transparencia_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
HaberesEncasillamiento;aaaHaberesEncasillamiento_PK;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.101562;0.046875;Id_Haber;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaHaberesEncasillamiento_PK;
HaberesEncasillamiento;Id_Haber;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Haber;0.0;NO USO;0;INDEX;Duplica aaaHaberesEncasillamiento_PK;aaaHaberesEncasillamiento_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Afp;aaaaaAfp_PK;NONCLUSTERED;True;True;0.0;1.0;0.0;0.0;;2026-06-04 09:11:44.943;0.015625;0.015625;Id_Afp;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaAfp_PK;
Afp;Id_Afp;NONCLUSTERED;False;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Afp;0.0;NO USO;0;UNIQUE;Duplica aaaaaAfp_PK;aaaaaAfp_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
Bancos;aaaaaBancos_PK;NONCLUSTERED;True;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Banco;0.0;NO USO;1;PK Y UNIQUE;Unico;aaaaaBancos_PK;
Bancos;Id_Banco;NONCLUSTERED;False;True;0.0;0.0;0.0;0.0;;;0.015625;0.015625;Id_Banco;0.0;NO USO;0;UNIQUE;Duplica aaaaaBancos_PK;aaaaaBancos_PK;Liberar 0.015625MB, - 0.0 ops. de escritura
