TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;IS_PRIMARY_KEY_NUM;MANTENER
RentaEncasillamiento;aaaRentaEncasillamiento_PK;CLUSTERED;1;1;0;0;0;0;NULL;NULL;0.132812;0.09375;Rut;0;NO USO;1;1
RentaEncasillamiento;Codigo_TDP;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.039062;0.039062;Rut;0;NO USO;0;0
Asignaciones_Transparencia;aaaAsignaciones_Transparencia_PK;CLUSTERED;1;1;0;0;0;0;NULL;NULL;0.101562;0.046875;Id_Haber;0;NO USO;1;1
Asignaciones_Transparencia;Id_Haber;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Haber;0;NO USO;0;0
HaberesEncasillamiento;aaaHaberesEncasillamiento_PK;CLUSTERED;1;1;0;0;0;0;NULL;NULL;0.101562;0.046875;Id_Haber;0;NO USO;1;1
HaberesEncasillamiento;Id_Haber;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Haber;0;NO USO;0;0
Afp;aaaaaAfp_PK;NONCLUSTERED;1;1;0;1;0;0;NULL;2026-06-04 09:11:44.943;0.015625;0.015625;Id_Afp;0;NO USO;1;1
Afp;Id_Afp;NONCLUSTERED;0;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Afp;0;NO USO;0;0
Bancos;aaaaaBancos_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Banco;0;NO USO;1;1
Bancos;Id_Banco;NONCLUSTERED;0;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Banco;0;NO USO;0;0
CargoFuncionario;aaaaaCargoFuncionario_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Cargo;0;NO USO;1;1
CargoFuncionario;Id_Cargo;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Cargo;0;NO USO;0;0
CausalesEgreso;aaaaaCausalesEgreso_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Codigo;0;NO USO;1;1
CausalesEgreso;Id_Codigo;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Codigo;0;NO USO;0;0
Centros_Estudios;aaCentros_Estudios_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Centros_Estudios;0;NO USO;1;1
Centros_Estudios;Id_Centros_Estudios;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Centros_Estudios;0;NO USO;0;0
ComponentesINE;aaComponentesINE_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Componente_INE;0;NO USO;1;1
ComponentesINE;Id_Componente_INE;NONCLUSTERED;0;0;16;0;0;0;2026-06-04 09:07:07.720;NULL;0.015625;0.015625;Id_Componente_INE;16;Beneficio Busqueda;0;0
Constantes;aaaaaConstantes_PK;NONCLUSTERED;1;1;0;1;0;0;NULL;2026-06-04 09:13:41.847;0.015625;0.015625;Id_Constante;0;NO USO;1;1
Constantes;Id_Constante;NONCLUSTERED;0;1;28;0;0;0;2026-06-04 09:07:27.107;NULL;0.015625;0.015625;Id_Constante;28;Beneficio Busqueda;0;0
Descuentos_Finiquito;aaDescuentos_Finiquito_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Dcto;0;NO USO;1;1
Descuentos_Finiquito;Id_Dcto;NONCLUSTERED;0;0;260;0;0;0;2026-06-04 09:07:18.480;NULL;0.015625;0.015625;Id_Dcto;260;Beneficio Busqueda;0;0
Escalafones;aaaaaEscalafones_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Escalafon;0;NO USO;1;1
Escalafones;Id_Escalafon;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Escalafon;0;NO USO;0;0
Establecimiento;aaaaaEstablecimiento_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Estable;0;NO USO;1;1
Establecimiento;IdEstablecimiento;NONCLUSTERED;0;0;0;5;0;0;NULL;2026-06-04 09:07:27.167;0.015625;0.015625;Id_Estable;0;NO USO;0;0
Haberes;aaaaaHaberes_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Haber;0;NO USO;1;1
Haberes;Id_Haber;NONCLUSTERED;0;1;7;0;0;0;2026-06-04 10:53:21.910;NULL;0.015625;0.015625;Id_Haber;7;Beneficio Busqueda;0;0
HaberesINE;aaHaberesINE_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Haber;0;NO USO;1;1
HaberesINE;Id_Haber;NONCLUSTERED;0;0;471;0;0;0;2026-06-04 09:07:10.537;NULL;0.015625;0.015625;Id_Haber;471;Beneficio Busqueda;0;0
Haberes_Finiquito;aaHaberes_Finiquito_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Haber;0;NO USO;1;1
Haberes_Finiquito;Id_Haber;NONCLUSTERED;0;0;466;0;0;0;2026-06-04 09:07:17.183;NULL;0.015625;0.015625;Id_Haber;466;Beneficio Busqueda;0;0
Haberes_Sistema;aaaHaberes_Sistema_PK;CLUSTERED;1;1;19;0;0;2;2026-06-04 09:07:27.160;NULL;0.015625;0.015625;Id_Haber;19;Beneficio Busqueda;1;1
Haberes_Sistema;Id_Haber;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Haber;0;NO USO;0;0
Impuesto;aaaaaImpuesto_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Tramo;0;NO USO;1;1
Impuesto;Id_Tramo;NONCLUSTERED;0;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Tramo;0;NO USO;0;0
Isapres;aaaaaIsapres_PK;NONCLUSTERED;1;1;1;1;0;0;2026-06-04 09:07:04.667;2026-06-04 09:11:45.180;0.015625;0.015625;Id_Isapre;1;Beneficio Busqueda;1;1
Isapres;Id_Isapre;NONCLUSTERED;0;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Isapre;0;NO USO;0;0
LRE_Aportes;aaaLRE_Aportes_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Aporte;0;NO USO;1;1
LRE_Aportes;Id_Aporte;NONCLUSTERED;0;0;6;0;0;0;2026-06-04 09:07:14.373;NULL;0.015625;0.015625;Id_Aporte;6;Beneficio Busqueda;0;0
LRE_Descuentos;aaaLRE_Descuentos_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Descuento;0;NO USO;1;1
LRE_Descuentos;Id_Descuento;NONCLUSTERED;0;0;10;0;0;0;2026-06-04 09:07:12.480;NULL;0.015625;0.015625;Id_Descuento;10;Beneficio Busqueda;0;0
LRE_Haberes;aaaLRE_Haberes_PK;NONCLUSTERED;1;1;0;0;0;2;NULL;NULL;0.015625;0.015625;Id_Haber;0;SIN BUSQUEDAS;1;1
LRE_Haberes;Id_Haber;NONCLUSTERED;0;0;28;0;0;2;2026-06-04 09:07:12.417;NULL;0.015625;0.015625;Id_Haber;28;Beneficio Busqueda;0;0
LRE_Totales;aaaLRE_Totales_PK;NONCLUSTERED;1;1;2;0;0;0;2026-06-04 09:07:14.383;NULL;0.015625;0.015625;Id_Total;2;Beneficio Busqueda;1;1
LRE_Totales;Id_Total;NONCLUSTERED;0;0;11;0;0;0;2026-06-04 09:07:12.587;NULL;0.015625;0.015625;Id_Total;11;Beneficio Busqueda;0;0
MacroCalculo;aaaaaMacroCalculo_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Macro_id;0;NO USO;1;1
MacroCalculo;Macro_id;NONCLUSTERED;0;0;10;0;0;0;2026-06-04 09:07:45.213;NULL;0.015625;0.015625;Macro_id;10;Beneficio Busqueda;0;0
ModoDctos;aaaaaModoDctos_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_ModoDctos;0;NO USO;1;1
ModoDctos;Id_ModoDctos;NONCLUSTERED;0;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_ModoDctos;0;NO USO;0;0
NivelEducativo;aaaaaNivelEducativo_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Nivel;0;NO USO;1;1
NivelEducativo;Id_Nivel;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Nivel;0;NO USO;0;0
Otras_InstitucionesPrev;aaOtras_InstitucionesPrev_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Codigo;0;NO USO;1;1
Otras_InstitucionesPrev;Id_Codigo;NONCLUSTERED;0;0;5;0;0;0;2026-06-04 09:06:25.100;NULL;0.015625;0.015625;Id_Codigo;5;Beneficio Busqueda;0;0
ParametrosGenerales;aaaaaParametrosGenerales_PK;NONCLUSTERED;1;1;1;0;0;0;2026-06-04 10:00:08.683;NULL;0.015625;0.015625;Codigo_Area;1;Beneficio Busqueda;1;1
ParametrosGenerales;Codigo_Area;NONCLUSTERED;0;1;7;0;0;0;2026-06-04 10:53:21.897;NULL;0.015625;0.015625;Codigo_Area;7;Beneficio Busqueda;0;0
Proyectos;aaProyectos_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Proyecto;0;NO USO;1;1
Proyectos;Id_Proyecto;NONCLUSTERED;0;0;1;0;0;0;2026-06-04 09:07:06.383;NULL;0.015625;0.015625;Id_Proyecto;1;Beneficio Busqueda;0;0
TablaBienestar;aaaTablaBienestar_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Bienestar;0;NO USO;1;1
TablaBienestar;Id_Funcionario;NONCLUSTERED;0;0;2;0;0;0;2026-06-04 09:06:42.163;NULL;0.015625;0.015625;Id_Bienestar;2;Beneficio Busqueda;0;0
TablaSindicato;aaaTablaSindicato_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Id_Sindicato;0;NO USO;1;1
TablaSindicato;Id_Funcionario;NONCLUSTERED;0;0;2;0;0;0;2026-06-04 09:06:42.197;NULL;0.015625;0.015625;Id_Sindicato;2;Beneficio Busqueda;0;0
TipoInstitucionesAVP;aaTipoInstitucionesAVP_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Tipo_Institucion;0;NO USO;1;1
TipoInstitucionesAVP;Tipo_Institucion;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Tipo_Institucion;0;NO USO;0;0
Tipo_Horas;aaaaaTipo_Horas_PK;NONCLUSTERED;1;1;1;0;0;0;2026-06-04 09:07:06.377;NULL;0.015625;0.015625;Tipo_Horas;1;Beneficio Busqueda;1;1
Tipo_Horas;Tipo_Horas;NONCLUSTERED;0;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Tipo_Horas;0;NO USO;0;0
Tipo_Horas_AEduca;aaTipo_Horas_AEduca_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.015625;0.015625;Tipo_Horas;0;NO USO;1;1
Tipo_Horas_AEduca;Tipo_Horas;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.015625;0.015625;Tipo_Horas;0;NO USO;0;0
TramoDesarrolloProfesional;aaaTramoDesarrolloProfesional_PK;CLUSTERED;1;1;12;0;0;6;2026-06-04 09:07:07.133;NULL;0.015625;0.015625;Codigo_TDP;12;Beneficio Busqueda;1;1
TramoDesarrolloProfesional;Codigo_TDP;NONCLUSTERED;0;0;0;1;0;0;NULL;2026-06-04 09:07:07.060;0.015625;0.015625;Codigo_TDP;0;NO USO;0;0
ErroresMigracionNet;PK_ErroresMigracionNet;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.000000;0.0;Id;0;NO USO;1;1
ErroresMigracionNet;ID;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.000000;0.0;Id;0;NO USO;0;0
Mentor;aaaMentor_PK;CLUSTERED;1;1;0;0;0;0;NULL;NULL;0.000000;0.0;Rut_Mentor;0;NO USO;1;1
Mentor;Rut_Mentor;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.000000;0.0;Rut_Mentor;0;NO USO;0;0
Sindicatos;aaSindicatos_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.000000;0.0;Id_Sindicato;0;NO USO;1;1
Sindicatos;Id_Sindicato;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.000000;0.0;Id_Sindicato;0;NO USO;0;0
Suplencias;aaaaaSuplencias_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.000000;0.0;Id_Funcionario;0;NO USO;1;1
Suplencias;Id_Funcionario;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.000000;0.0;Id_Funcionario;0;NO USO;0;0
Tipo_Horas_Proyecto;aaTipo_Horas_Proyecto_PK;NONCLUSTERED;1;1;0;0;0;0;NULL;NULL;0.000000;0.0;Id_Tipo_Horas_Proyecto;0;NO USO;1;1
Tipo_Horas_Proyecto;Id_Tipo_Horas_Proyecto;NONCLUSTERED;0;0;0;0;0;0;NULL;NULL;0.000000;0.0;Id_Tipo_Horas_Proyecto;0;NO USO;0;0
