Tabla;Indice;Tipo;EsPK;EsUnique;EstaDeshabilitado;IgnoraDuplicados;OrdenColumna;Columna;EsDescendente;EsIncluida;OrdenParticion;ColStoreOrder
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;0;Codigo_Area;0;1;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;0;CodigoCuenta;0;1;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;0;AperturaDebe;0;1;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;0;AperturaHaber;0;1;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;0;Debe;0;1;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;0;Haber;0;1;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;1;Ano_Proceso;0;0;0;0
AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;0;0;0;0;2;Mes;0;0;0;0
AnexoPlanDeCuenta;PK_AnexoPlanDeCuenta;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
AnexoPlanDeCuenta;PK_AnexoPlanDeCuenta;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
AnexoPlanDeCuenta;PK_AnexoPlanDeCuenta;CLUSTERED;1;1;0;0;3;CodigoCuenta;0;0;0;0
AnexoPlanDeCuenta;PK_AnexoPlanDeCuenta;CLUSTERED;1;1;0;0;4;Mes;0;0;0;0
AnexoPlanDeCuenta_Paso;Ano_Proceso;NONCLUSTERED;0;0;0;0;1;Ano_Proceso;0;0;0;0
AnexoPlanDeCuenta_Paso;Codigo_Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
AnexoPlanDeCuenta_Paso;CodigoCuenta;NONCLUSTERED;0;0;0;0;1;CodigoCuenta;0;0;0;0
AnexoPlanDeCuenta_Paso;Mes;NONCLUSTERED;0;0;0;0;1;Mes;0;0;0;0
AnexoPlanDeCuenta_Paso;PK_AnexoPlanDeCuenta_Paso;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
AnexoPlanDeCuenta_Paso;PK_AnexoPlanDeCuenta_Paso;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
AnexoPlanDeCuenta_Paso;PK_AnexoPlanDeCuenta_Paso;CLUSTERED;1;1;0;0;3;CodigoCuenta;0;0;0;0
AnexoPlanDeCuenta_Paso;PK_AnexoPlanDeCuenta_Paso;CLUSTERED;1;1;0;0;4;Mes;0;0;0;0
Ano_Proceso;PK_Ano_Proceso;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
Ano_Proceso;PK_Ano_Proceso;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
AreadeGestion;PK_AreadeGestion;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
AreadeGestion;PK_AreadeGestion;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
AreadeGestion;PK_AreadeGestion;CLUSTERED;1;1;0;0;3;Codigo_AreaGestion;0;0;0;0
BloqueadoDiasTesoreria;PK_BloqueadoDiasTesoreria;CLUSTERED;1;1;0;0;1;Fecha_Bloqueada;0;0;0;0
BloqueadoDiasTesoreria;PK_BloqueadoDiasTesoreria;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
Caja_Chica;Caja_Chica_Codigo_Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
Caja_Chica;Caja_Chica_Fecha;NONCLUSTERED;0;0;0;0;1;Fecha;0;0;0;0
Caja_Chica;Caja_Chica_Nombre;NONCLUSTERED;0;0;0;0;1;Nombre;0;0;0;0
Caja_Chica;Caja_Chica_Numero;NONCLUSTERED;0;0;0;0;1;Numero;0;0;0;0
Caja_Chica;Caja_Chica_Numero_Caja;NONCLUSTERED;0;0;0;0;1;Numero_Caja;0;0;0;0
Caja_Chica;Caja_Chica_Rut;NONCLUSTERED;0;0;0;0;1;Rut;0;0;0;0
Caja_Chica;PK_Caja_Chica;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Caja_Chica;PK_Caja_Chica;CLUSTERED;1;1;0;0;2;Numero_Caja;0;0;0;0
Caja_Chica;PK_Caja_Chica;CLUSTERED;1;1;0;0;3;Numero;0;0;0;0
Caja_Chica_Egresos;PK_Caja_Chica_Egresos;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Caja_Chica_Egresos;PK_Caja_Chica_Egresos;CLUSTERED;1;1;0;0;2;Numero_Caja;0;0;0;0
Caja_Chica_Egresos;PK_Caja_Chica_Egresos;CLUSTERED;1;1;0;0;3;Egreso;0;0;0;0
Carga_Facturas_LibroCompra;PK_Facturas_LibroCompra;CLUSTERED;1;1;0;0;1;Rut_Proveedor;0;0;0;0
Carga_Facturas_LibroCompra;PK_Facturas_LibroCompra;CLUSTERED;1;1;0;0;2;Folio;0;0;0;0
Cesion_Credito;PK_Cesion_Credito;CLUSTERED;1;1;0;0;1;Rut_proveedor;0;0;0;0
Cesion_Credito;PK_Cesion_Credito;CLUSTERED;1;1;0;0;2;Tipo_Documento;0;0;0;0
Cesion_Credito;PK_Cesion_Credito;CLUSTERED;1;1;0;0;3;NumeroDocumento;0;0;0;0
ChequeEnComprobantes;Ano_Proceso;NONCLUSTERED;0;0;0;0;1;Ano_Proceso;0;0;0;0
ChequeEnComprobantes;Codigo_Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
ChequeEnComprobantes;Comprobante;NONCLUSTERED;0;0;0;0;1;Comprobante;0;0;0;0
ChequeEnComprobantes;Decreto;NONCLUSTERED;0;0;0;0;1;Decreto;0;0;0;0
ChequeEnComprobantes;Egreso;NONCLUSTERED;0;0;0;0;1;Egreso;0;0;0;0
ChequeEnComprobantes;Fila_Numero;NONCLUSTERED;0;0;0;0;1;Fila_Numero;0;0;0;0
ChequeEnComprobantes;Nombre;NONCLUSTERED;0;0;0;0;1;Nombre;0;0;0;0
ChequeEnComprobantes;NumeroCheque;NONCLUSTERED;0;0;0;0;1;NumeroCheque;0;0;0;0
ChequeEnComprobantes;PK_ChequeEnComprobantes;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
ChequeEnComprobantes;PK_ChequeEnComprobantes;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
ChequeEnComprobantes;PK_ChequeEnComprobantes;CLUSTERED;1;1;0;0;3;TipoComprobante;0;0;0;0
ChequeEnComprobantes;PK_ChequeEnComprobantes;CLUSTERED;1;1;0;0;4;Comprobante;0;0;0;0
ChequeEnComprobantes;PK_ChequeEnComprobantes;CLUSTERED;1;1;0;0;5;Fila_Numero;0;0;0;0
ChequeEnComprobantes;TipoComprobante;NONCLUSTERED;0;0;0;0;1;TipoComprobante;0;0;0;0
CierresDeMes;PK_CierresDeMes;CLUSTERED;1;1;0;0;1;Ano_proceso;0;0;0;0
CierresDeMes;PK_CierresDeMes;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
CierresDeMes;PK_CierresDeMes;CLUSTERED;1;1;0;0;3;Mes;0;0;0;0
Conceptos_Centro_Costos;Conceptos_CC_Codigo_Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
Conceptos_Centro_Costos;Conceptos_CC_Codigo_Concepto;NONCLUSTERED;0;0;0;0;1;Codigo_Concepto;0;0;0;0
Conceptos_Centro_Costos;Conceptos_CC_CodigoCuenta;NONCLUSTERED;0;0;0;0;1;CodigoCuenta;0;0;0;0
Conceptos_Centro_Costos;Conceptos_CC_Descripcion;NONCLUSTERED;0;0;0;0;1;Descripcion;0;0;0;0
Conceptos_Centro_Costos;PK_Conceptos_Centro_Costos;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
Conceptos_Centro_Costos;PK_Conceptos_Centro_Costos;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
Conceptos_Centro_Costos;PK_Conceptos_Centro_Costos;CLUSTERED;1;1;0;0;3;Codigo_Concepto;0;0;0;0
Consumo_Identificacion;PK_Consumo_Identificacion;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Consumo_Identificacion;PK_Consumo_Identificacion;CLUSTERED;1;1;0;0;2;Codigo_Consumo;0;0;0;0
Consumo_Identificacion;PK_Consumo_Identificacion;CLUSTERED;1;1;0;0;3;Codigo_Cliente;0;0;0;0
Consumo_Pago;PK_Consumo_Pago;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Consumo_Pago;PK_Consumo_Pago;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
Consumo_Pago;PK_Consumo_Pago;CLUSTERED;1;1;0;0;3;ComprobanteObligado;0;0;0;0
Consumo_Pago;PK_Consumo_Pago;CLUSTERED;1;1;0;0;4;Correlativo;0;0;0;0
Consumo_Servicios;PK_Consumo_Servicios;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Consumo_Servicios;PK_Consumo_Servicios;CLUSTERED;1;1;0;0;2;Codigo_Consumo_Servicios;0;0;0;0
Consumo_Tipos;PK_Consumo_Tipos;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Consumo_Tipos;PK_Consumo_Tipos;CLUSTERED;1;1;0;0;2;Codigo_Consumo;0;0;0;0
Contratos;PK_Contratos;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Contratos;PK_Contratos;CLUSTERED;1;1;0;0;2;Ano_Contrato;0;0;0;0
Contratos;PK_Contratos;CLUSTERED;1;1;0;0;3;NumeroContrato;0;0;0;0
Contratos_En_Decreto;PK_Contratos_En_Decreto;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Contratos_En_Decreto;PK_Contratos_En_Decreto;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
Contratos_En_Decreto;PK_Contratos_En_Decreto;CLUSTERED;1;1;0;0;3;NumeroDecreto;0;0;0;0
Contratos_En_Decreto;PK_Contratos_En_Decreto;CLUSTERED;1;1;0;0;4;Fila_Numero;0;0;0;0
CTA_BALANCETRIBUTARIO;PK_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
CTA_BALANCETRIBUTARIO;PK_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
CTA_BALANCETRIBUTARIO;PK_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;3;Tipo_Cta_BalanceTributario;0;0;0;0
Cuentas_BalEjecPresup;PK_Cuentas_BalEjecPresup;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
Cuentas_BalEjecPresup;PK_Cuentas_BalEjecPresup;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
Cuentas_BalEjecPresup;PK_Cuentas_BalEjecPresup;CLUSTERED;1;1;0;0;3;NumeroListado;0;0;0;0
Cuentas_BalEjecPresup;PK_Cuentas_BalEjecPresup;CLUSTERED;1;1;0;0;4;Item;0;0;0;0
Cuentas_BalEjecPresupDetalle;PK_Cuentas_BalEjecPresupDetalle;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
Cuentas_BalEjecPresupDetalle;PK_Cuentas_BalEjecPresupDetalle;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
Cuentas_BalEjecPresupDetalle;PK_Cuentas_BalEjecPresupDetalle;CLUSTERED;1;1;0;0;3;NumeroListado;0;0;0;0
Cuentas_BalEjecPresupDetalle;PK_Cuentas_BalEjecPresupDetalle;CLUSTERED;1;1;0;0;4;Item;0;0;0;0
Cuentas_BalEjecPresupDetalle;PK_Cuentas_BalEjecPresupDetalle;CLUSTERED;1;1;0;0;5;CodigoCuenta;0;0;0;0
Cuentas_Consulta_Flujo_Caja;Ano;NONCLUSTERED;0;0;0;0;1;Ano_Proceso;0;0;0;0
Cuentas_Consulta_Flujo_Caja;Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
Cuentas_Consulta_Flujo_Caja;Grilla;NONCLUSTERED;0;0;0;0;1;Grilla;0;0;0;0
Cuentas_Consulta_Flujo_Caja;PK_Cuentas_Consulta_Flujo_Caja;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Cuentas_Consulta_Flujo_Caja;PK_Cuentas_Consulta_Flujo_Caja;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
Cuentas_Consulta_Flujo_Caja;PK_Cuentas_Consulta_Flujo_Caja;CLUSTERED;1;1;0;0;3;Grilla;0;0;0;0
Cuentas_Departamento;PK__Cuentas___0D6327BE532D54A4;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Cuentas_Departamento;PK__Cuentas___0D6327BE532D54A4;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
Cuentas_Departamento;PK__Cuentas___0D6327BE532D54A4;CLUSTERED;1;1;0;0;3;Codigo_Direccion;0;0;0;0
Cuentas_Departamento;PK__Cuentas___0D6327BE532D54A4;CLUSTERED;1;1;0;0;4;Codigo_Departamento;0;0;0;0
Cuentas_Departamento;PK__Cuentas___0D6327BE532D54A4;CLUSTERED;1;1;0;0;5;Codigo_Cuenta;0;0;0;0
CuentasCorrientes;Ano;NONCLUSTERED;0;0;0;0;1;Ano_Proceso;0;0;0;0
CuentasCorrientes;Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
CuentasCorrientes;Comprobante;NONCLUSTERED;0;0;0;0;1;Comprobante;0;0;0;0
CuentasCorrientes;PK_CuentasCorrientes;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
CuentasCorrientes;PK_CuentasCorrientes;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
CuentasCorrientes;PK_CuentasCorrientes;CLUSTERED;1;1;0;0;3;TipoComprobante;0;0;0;0
CuentasCorrientes;PK_CuentasCorrientes;CLUSTERED;1;1;0;0;4;Comprobante;0;0;0;0
CuentasCorrientes;PK_CuentasCorrientes;CLUSTERED;1;1;0;0;5;TipoCuentaCorriente;0;0;0;0
CuentasCorrientes;Rut;NONCLUSTERED;0;0;0;0;1;Rut;0;0;0;0
CuentasCorrientes;Tipo;NONCLUSTERED;0;0;0;0;1;TipoComprobante;0;0;0;0
CuentasCorrientes;TipoCuentaCorriente;NONCLUSTERED;0;0;0;0;1;TipoCuentaCorriente;0;0;0;0
CuentasSinim;PK_CuentasSinim;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
CuentasSinim;PK_CuentasSinim;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
CuentasSinim;PK_CuentasSinim;CLUSTERED;1;1;0;0;3;CodigoCuenta;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;1;Usuario;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;2;Estacion;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;3;Ano_Proceso;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;4;Mes;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;5;CodigoCuenta;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;6;Tipo_Informe;0;0;0;0
Datos_Agregado_Analitico;PK_Datos_Agregado_Analitico;CLUSTERED;1;1;0;0;7;Codigo_Contraloria;0;0;0;0
DatosTomadosTesoreria;PK_DatosTomadosTesoreria;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
DatosTomadosTesoreria;PK_DatosTomadosTesoreria;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
DatosTomadosTesoreria;PK_DatosTomadosTesoreria;CLUSTERED;1;1;0;0;3;FechaRecepcion;0;0;0;0
DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;1;1;0;0;3;Rut;0;0;0;0
DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;1;1;0;0;4;IdSubvencion;0;0;0;0
DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;1;1;0;0;5;Ano_Decreto;0;0;0;0
DecretoSubvencion;PK_DecretoSubvencion;CLUSTERED;1;1;0;0;6;Num_Decreto;0;0;0;0
DefinicionSubvencion;PK_DefinicionSubvencion;CLUSTERED;1;1;0;0;1;Codigo_TipoMovimiento;0;0;0;0
Departamentos;Area;NONCLUSTERED;0;0;0;0;1;Codigo_Area;0;0;0;0
Departamentos;Departamento;NONCLUSTERED;0;0;0;0;1;Codigo_Departamento;0;0;0;0
Departamentos;Direccion;NONCLUSTERED;0;0;0;0;1;Codigo_Direccion;0;0;0;0
Departamentos;PK_Departamentos;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Departamentos;PK_Departamentos;CLUSTERED;1;1;0;0;2;Codigo_Direccion;0;0;0;0
Departamentos;PK_Departamentos;CLUSTERED;1;1;0;0;3;Codigo_Departamento;0;0;0;0
Det_TransferBancoStgo;PK_Det_TransferBancoStgo;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
Det_TransferBancoStgo;PK_Det_TransferBancoStgo;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
Det_TransferBancoStgo;PK_Det_TransferBancoStgo;CLUSTERED;1;1;0;0;3;Num_Transfer;0;0;0;0
Det_TransferBancoStgo;PK_Det_TransferBancoStgo;CLUSTERED;1;1;0;0;4;Fila;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;1;Fecha_Computador;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;2;Fecha_Servidor;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;3;Ano_Proceso;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;4;Codigo_Area;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;5;TipoComprobante;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;6;Comprobante;0;0;0;0
Detalle_Compro_Transac;Detalle_Compro_Transaccione;NONCLUSTERED;1;1;0;0;7;Fila_Numero;0;0;0;0
DETALLE_CTA_BALANCETRIBUTARIO;PK_DETALLE_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
DETALLE_CTA_BALANCETRIBUTARIO;PK_DETALLE_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
DETALLE_CTA_BALANCETRIBUTARIO;PK_DETALLE_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;3;Tipo_Cta_BalanceTributario;0;0;0;0
DETALLE_CTA_BALANCETRIBUTARIO;PK_DETALLE_CTA_BALANCETRIBUTARIO;CLUSTERED;1;1;0;0;4;CodigoCuenta;0;0;0;0
Detalle_FSubvencion;PK_Detalle_FSubvencion;CLUSTERED;1;1;0;0;1;Ano_Proceso;0;0;0;0
Detalle_FSubvencion;PK_Detalle_FSubvencion;CLUSTERED;1;1;0;0;2;Codigo_Area;0;0;0;0
Detalle_FSubvencion;PK_Detalle_FSubvencion;CLUSTERED;1;1;0;0;3;CodigoCuenta;0;0;0;0
Detalle_FSubvencion;PK_Detalle_FSubvencion;CLUSTERED;1;1;0;0;4;Linea;0;0;0;0
DetalleApertura;PK_DetalleApertura;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetalleApertura;PK_DetalleApertura;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DetalleApertura;PK_DetalleApertura;CLUSTERED;1;1;0;0;3;Comprobante;0;0;0;0
DetalleApertura;PK_DetalleApertura;CLUSTERED;1;1;0;0;4;Fila_Numero;0;0;0;0
DetalleComprobantes;PK_DetalleComprobantes;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetalleComprobantes;PK_DetalleComprobantes;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DetalleComprobantes;PK_DetalleComprobantes;CLUSTERED;1;1;0;0;3;TipoComprobante;0;0;0;0
DetalleComprobantes;PK_DetalleComprobantes;CLUSTERED;1;1;0;0;4;Comprobante;0;0;0;0
DetalleComprobantes;PK_DetalleComprobantes;CLUSTERED;1;1;0;0;5;Fila_Numero;0;0;0;0
DetalleModificacionesPresupues;PK_DetalleModificacionesPresupues;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetalleModificacionesPresupues;PK_DetalleModificacionesPresupues;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DetalleModificacionesPresupues;PK_DetalleModificacionesPresupues;CLUSTERED;1;1;0;0;3;Comprobante;0;0;0;0
DetalleModificacionesPresupues;PK_DetalleModificacionesPresupues;CLUSTERED;1;1;0;0;4;Fila_Numero;0;0;0;0
DetalleObligaciones;PK_DetalleObligaciones;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetalleObligaciones;PK_DetalleObligaciones;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DetalleObligaciones;PK_DetalleObligaciones;CLUSTERED;1;1;0;0;3;ComprobanteObligado;0;0;0;0
DetalleObligaciones;PK_DetalleObligaciones;CLUSTERED;1;1;0;0;4;Fila_Numero;0;0;0;0
DetalleObligaciones_Adquisiciones;PK_DetalleObligaciones_Adquisiciones;NONCLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetalleObligaciones_Adquisiciones;PK_DetalleObligaciones_Adquisiciones;NONCLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DetalleObligaciones_Adquisiciones;PK_DetalleObligaciones_Adquisiciones;NONCLUSTERED;1;1;0;0;3;ComprobanteObligado;0;0;0;0
DetalleObligaciones_Adquisiciones;PK_DetalleObligaciones_Adquisiciones;NONCLUSTERED;1;1;0;0;4;Fila_Numero;0;0;0;0
DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;1;1;0;0;1;Fecha_Computador;0;0;0;0
DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;1;1;0;0;2;Fecha_Servidor;0;0;0;0
DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;1;1;0;0;3;Ano_Proceso;0;0;0;0
DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;1;1;0;0;4;Codigo_Area;0;0;0;0
DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;1;1;0;0;5;ComprobanteObligado;0;0;0;0
DetalleObligaciones_Transac;DetOblig_Transaccione;NONCLUSTERED;1;1;0;0;6;Fila_Numero;0;0;0;0
DetalleSubvencion;PK_DetalleSubvencion;CLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetalleSubvencion;PK_DetalleSubvencion;CLUSTERED;1;1;0;0;2;Ano_Proceso;0;0;0;0
DetalleSubvencion;PK_DetalleSubvencion;CLUSTERED;1;1;0;0;3;Rut;0;0;0;0
DetalleSubvencion;PK_DetalleSubvencion;CLUSTERED;1;1;0;0;4;IdSubvencion;0;0;0;0
DetModPresupues_AreadeGestion;PK_DetModPresupues_AreadeGestion;NONCLUSTERED;1;1;0;0;1;Codigo_Area;0;0;0;0
DetModPresupues_AreadeGestion;PK_DetModPresupues_AreadeGestion;NONCLUSTERED;1;1;0;0;2;Ano_proceso;0;0;0;0
