Esquema;Tabla;Indice;Tipo;EsPK;EsUnique;Pages;Fragmentacion;PageFullness
dbo;AnexoPlanDeCuenta;AnexoPlandecuenta;NONCLUSTERED;False;False;2371;1.054407423028258;99.25259451445515
dbo;AnexoPlanDeCuenta;PK_AnexoPlanDeCuenta;CLUSTERED;True;True;4651;2.4725865405289182;97.52788485297752
dbo;AnexoPlanDeCuenta_Paso;Ano_Proceso;NONCLUSTERED;False;False;547;85.0091407678245;72.29852977514207
dbo;AnexoPlanDeCuenta_Paso;Codigo_Area;NONCLUSTERED;False;False;556;85.25179856115108;71.12783543365455
dbo;AnexoPlanDeCuenta_Paso;CodigoCuenta;NONCLUSTERED;False;False;591;97.12351945854483;66.91405979738076
dbo;AnexoPlanDeCuenta_Paso;Mes;NONCLUSTERED;False;False;602;71.92691029900332;65.6909315542377
dbo;AnexoPlanDeCuenta_Paso;PK_AnexoPlanDeCuenta_Paso;CLUSTERED;True;True;1579;1.6466117796073463;97.98199901161355
dbo;Ano_Proceso;PK_Ano_Proceso;CLUSTERED;True;True;1;0.0;34.7541388682975
dbo;AreadeGestion;PK_AreadeGestion;CLUSTERED;True;True;1;0.0;96.02174450210032
dbo;BloqueadoDiasTesoreria;PK_BloqueadoDiasTesoreria;CLUSTERED;True;True;1;0.0;0.21003212255992093
dbo;Caja_Chica;Caja_Chica_Codigo_Area;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Caja_Chica;Caja_Chica_Fecha;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Caja_Chica;Caja_Chica_Nombre;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Caja_Chica;Caja_Chica_Numero;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Caja_Chica;Caja_Chica_Numero_Caja;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Caja_Chica;Caja_Chica_Rut;NONCLUSTERED;False;False;0;0.0;0.0
dbo;Caja_Chica;PK_Caja_Chica;CLUSTERED;True;True;0;0.0;0.0
dbo;Caja_Chica_Egresos;PK_Caja_Chica_Egresos;CLUSTERED;True;True;0;0.0;0.0
