Tabla;Indice;TypeDesc;EsPK;EsUnique;user_seeks;user_scans;user_lookups;user_updates;last_user_seek;last_user_scan;TamanoTotal_MB;UsedPages_MB;DataPages_MB
AccidenteTrabajo;;HEAP;False;False;;;;;;;0.0;0.0;0.0
AccidenteTrabajo;aaaAccidenteTrabajo_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
AccidenteTrabajo;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
AccidenteTrabajo;Periodo;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
AdicionalDosSalud;;HEAP;False;False;;;;;;;0.0;0.0;0.0
AdicionalDosSalud;aaaaaAdicionalDosSalud_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
AdicionalDosSalud;Dos_FechaContratoIsapre;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
AdicionalDosSalud;Id_Funcionario;NONCLUSTERED;False;False;;;;;;;0.0;0.0;0.0
Afp;;HEAP;False;False;;;;;;;0.015625;0.015625;0.007812
Afp;aaaaaAfp_PK;NONCLUSTERED;True;True;;;;;;;0.015625;0.015625;0.007812
Afp;Id_Afp;NONCLUSTERED;False;True;;;;;;;0.015625;0.015625;0.007812
Afp;Id_RegPrevisional;NONCLUSTERED;False;False;;;;;;;0.015625;0.015625;0.007812
Anexo_AntecedentesAcademicos;;HEAP;False;False;;;;;;;0.070312;0.015625;0.007812
Anexo_AntecedentesAcademicos;aaAnexo_AntecedentesAcademicos_PK;NONCLUSTERED;True;True;;;;;;;0.070312;0.015625;0.007812
AnexoDecreto_Pago;;HEAP;False;False;;;;;;;2.90625;2.085937;1.40625
AnexoDecreto_Pago;aaAnexoDecreto_Pago_PK;NONCLUSTERED;True;True;;;;;;;0.515625;0.34375;0.476562
AnexoDecreto_Pago;Ano_Proceso;NONCLUSTERED;False;False;;;;;;;0.453125;0.296875;0.421875
AnexoDecreto_Pago;Id_Codigo_Institucion;NONCLUSTERED;False;False;;;;;;;0.328125;0.25;0.328125
AnexoDecreto_Pago;Id_Tipo_Institucion;NONCLUSTERED;False;False;;;;;;;0.515625;0.335937;0.445312
AnexoDecreto_Pago;Mes_Proceso;NONCLUSTERED;False;False;;;;;;;0.453125;0.296875;0.445312
AnexoDecreto_Pago_Proyectos;;HEAP;False;False;;;;;;;0.0;0.0;0.0
AnexoDecreto_Pago_Proyectos;aaAnexoDecreto_Pago_Proyectos_PK;NONCLUSTERED;True;True;;;;;;;0.0;0.0;0.0
