TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;DIFERENCIA_ATRIBUTOS;EVALUACION_CONTENIDO;MANTENER;IS_PRIMARY_KEY_NUM;IS_UNIQUE_NUM;TIPO;LARGO_ATRIBUTOS;PESO_GRUPO;BENEFICIO
EncabezadoComprobantes;encabezadosComprobantes;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;23.328125;23.273437;Codigo_Area,Ano_Proceso,TipoComprobante,Comprobante,Fecha,EsDeCierre;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;6;441.625;
EncabezadoComprobantes;PK_EncabezadoComprobantes;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;445.71875;441.625;Codigo_Area,Ano_Proceso,TipoComprobante,Comprobante;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor encabezadosComprobantes;0.0;0.0;INDEX;4;441.625;Liberar 441.625MB espacio, - 0.0 ops. de escritura
Transacciones;Pk_Agrup;CLUSTERED;False;False;0.0;0.0;0.0;0.0;;;412.828125;412.726562;Codigo_Area,Ano_Proceso,Fecha;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;3;412.726562;
Transacciones;Transacciones_Codigo_Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;58.578125;58.546875;Codigo_Area;0.0;NO USO;2;CANDIDATO ELIMINAR;Contenidopor Pk_Agrup;0.0;0.0;INDEX;1;412.726562;Liberar 58.546875MB espacio, - 0.0 ops. de escritura
PagadosEnDecreto;PK_PagadosEnDecreto;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;57.640625;57.601562;Codigo_Area,Ano_Proceso,NumeroDecreto,Fila_Numero;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;4;57.601562;
PagadosEnDecreto;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;13.945312;13.90625;Codigo_Area;0.0;NO USO;3;REVISAR;Contenidopor PK_PagadosEnDecreto;0.0;0.0;INDEX;1;57.601562;Liberar 13.90625MB espacio, - 0.0 ops. de escritura
ChequeEnComprobantes;PK_ChequeEnComprobantes;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;48.640625;48.617187;Codigo_Area,Ano_Proceso,TipoComprobante,Comprobante,Fila_Numero;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;5;48.617187;
ChequeEnComprobantes;Codigo_Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;9.578125;9.5;Codigo_Area;0.0;NO USO;4;REVISAR;Contenidopor PK_ChequeEnComprobantes;0.0;0.0;INDEX;1;48.617187;Liberar 9.5MB espacio, - 0.0 ops. de escritura
TomaDatosTesoreria;PK_TomaDatosTesoreria;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;41.453125;41.3125;Ano_Proceso,Codigo_Area,FechaRecepcion,Item_Pago,Tipo,CodigoCuenta;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;6;41.3125;
TomaDatosTesoreria;Ano;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;29.578125;29.492187;Ano_Proceso;0.0;NO USO;5;REVISAR;Contenidopor PK_TomaDatosTesoreria;0.0;0.0;INDEX;1;41.3125;Liberar 29.492187MB espacio, - 0.0 ops. de escritura
RelacionCuentasObligado;PK_RelacionCuentasObligado;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;31.765625;31.664062;Codigo_Area,Ano_Proceso,TipoComprobante,CodigoCuenta,ComprobanteObligado,ComprobanteDevengado;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;6;31.664062;
RelacionCuentasObligado;Area;NONCLUSTERED;False;False;0.0;0.0;0.0;0.0;;;22.390625;22.296875;Codigo_Area;0.0;NO USO;5;REVISAR;Contenidopor PK_RelacionCuentasObligado;0.0;0.0;INDEX;1;31.664062;Liberar 22.296875MB espacio, - 0.0 ops. de escritura
Ubicacion_Decreto;PK_Ubicacion_Decreto_1;CLUSTERED;True;True;0.0;0.0;0.0;0.0;;;21.007812;20.914062;Codigo_Area,Ano_Documento,Fila_Numero,Numero_Documento,Ano_Proceso,NumeroDecreto;0.0;NO USO;;CONTENEDOR;Contenedor;0.0;0.0;INDEX;6;20.914062;
