TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE
AccidentesDeTrabajo;aaaaaAccidentesDeTrabajo_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Id_Accidente,FechaAccidente;0.0;NO USO
AdicionalDosSalud;aaaaaAdicionalDosSalud_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Dos_FechaContratoIsapre;0.0;NO USO
AdicionalDosSalud;Dos_FechaContratoIsapre;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Dos_FechaContratoIsapre;0.0;NO USO
AdicionalDosSalud;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento;0.0;NO USO
AdicionalDosSalud;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Funcionario;0.0;NO USO
Afp;aaaaaAfp_PK;NONCLUSTERED;1;1;0.0;1.0;0.0;0.0;;2026-06-04 09:11:44.943;0.015625;0.015625;0.007812;Id_Afp;0.0;NO USO
Afp;Id_Afp;NONCLUSTERED;0;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_Afp;0.0;NO USO
Afp;Id_RegPrevisional;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.007812;Id_RegPrevisional;0.0;NO USO
AguinaldoTemporal;aaaaaAguinaldoTemporal_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.054687;Id_Establecimiento,Id_Funcionario;0.0;NO USO
AguinaldoTemporal;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.031250;Id_Establecimiento;0.0;NO USO
AguinaldoTemporal;Id_EstablecimientoFun;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.039062;0.039062;0.039062;Id_EstablecimientoFun;0.0;NO USO
AguinaldoTemporal;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.031250;Id_Funcionario;0.0;NO USO
AguinaldoTemporal;Rut_Temporal;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.015625;0.015625;0.046875;Rut_Temporal;0.0;NO USO
Anexo_Finiquito;aaAnexo_Finiquito_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Correlativo,Correlativo_Anexo;0.0;NO USO
Anexo_Finiquito;Correlativo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Correlativo;0.0;NO USO
Anexo_Finiquito;Correlativo_Anexo;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Correlativo_Anexo;0.0;NO USO
Anexo_Finiquito;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Establecimiento;0.0;NO USO
Anexo_Finiquito;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.000000;0.000000;0.000000;Id_Funcionario;0.0;NO USO
