TABLA;INDICE;TYPE_DESC;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;USED-PAGES
AccidentesDeTrabajo;;HEAP;;;;;0.015625
AdicionalDosSalud;;HEAP;;;;;0.000000
Afp;;HEAP;0;0;1;0;0.015625
AFP_JUBILACION_VOLUNTARIO;;HEAP;;;;;0.000000
AFP_T_JUBILACION_VOLUNTARIO;;HEAP;;;;;0.000000
AguinaldoTemporal;;HEAP;;;;;0.328125
Anexo_Finiquito;;HEAP;;;;;0.000000
Anexo_PlanCta;;HEAP;0;0;0;0;0.031250
Anexo_PlanCta_Privado;;HEAP;0;0;0;1;0.000000
AnexoPlanCuentaPrivado;;HEAP;;;;;0.000000
AnexoPlandeCuenta;;HEAP;;;;;0.070312
AñoRenta;;HEAP;;;;;0.015625
Anotaciones;;HEAP;;;;;0.007812
Antecedentes;;HEAP;0;1;0;0;0.726562
AperturaDeCuentas;;HEAP;;;;;0.000000
Asignaturas;;HEAP;;;;;0.015625
Asistencia;;HEAP;;;;;0.000000
Bancos;;HEAP;;;;;0.015625
Base_CalculoLicencia;;HEAP;0;0;2;0;23.984375
Bienios_Cumplidos;;HEAP;;;;;0.015625
CABEZA;;HEAP;;;;;0.000000
Calificacion;;HEAP;;;;;0.000000
Capacitacion;;HEAP;;;;;0.015625
Carga;;HEAP;;;;;0.015625
CargaDescuentosVarios;;HEAP;;;;;0.117187
CargaDescuentosVarios_Aviso;;HEAP;;;;;2.031250
CargaFechaTermino;;HEAP;;;;;0.000000
CargaFechaTermino_Aviso;;HEAP;;;;;0.000000
CargaPagosLicencia;;HEAP;;;;;0.015625
CargaPagosLicencia_Aviso;;HEAP;;;;;0.007812
CargasRetroactivas;;HEAP;0;3;0;1;0.468750
CargoFuncionario;;HEAP;0;1;0;1;0.085937
CausalesEgreso;;HEAP;;;;;0.015625
CCAF_LosAndes;;HEAP;;;;;0.031250
CCAF_LosAndes_AfiliadoVoluntario;;HEAP;;;;;0.000000
CCAF_LosAndes_DepositosConvenidos;;HEAP;;;;;0.007812
CCAF_LosAndes_SIL;;HEAP;;;;;0.000000
Centros_Estudios;;HEAP;0;1;0;0;0.078125
Cheques;;HEAP;0;0;1;1;0.007812
ClasificacionFuncionarios;;HEAP;0;0;9;0;0.015625
CometidoFuncionario;;HEAP;;;;;0.015625
ComponentesINE;;HEAP;0;0;16;0;0.015625
Constantes;;HEAP;0;2;29;0;0.015625
ContingenciaLeySanna;;HEAP;;;;;0.015625
CONTRATO;;HEAP;;;;;0.000000
CuentaBanco;;HEAP;0;1;0;0;0.507812
DatosPersonales_Finiquito;;HEAP;;;;;0.000000
Decreto_Pago;;HEAP;;;;;0.218750
DescuentoBienestar;;HEAP;;;;;0.000000
DescuentoBienestar_Auxiliar;;HEAP;;;;;0.000000
Descuentos;;HEAP;0;3;8;2;0.039062
Descuentos_Finiquito;;HEAP;0;0;260;1;0.023437
DescuentoSindicato;;HEAP;;;;;0.000000
DescuentoSindicato_Auxiliar;;HEAP;;;;;0.000000
DescuentosNoEfectuados;;HEAP;0;0;1;1;0.000000
DescuentosNoEfectuadosSuple;;HEAP;;;;;0.000000
DETALLE;;HEAP;;;;;0.000000
Detalle_DecretoPago;;HEAP;0;2;4239;0;245.289062
DETALLE2;;HEAP;;;;;0.000000
DetalleCCAF;;HEAP;;;;;0.000000
DetalleDesDificil;;HEAP;0;0;1;0;0.000000
DetalleRentas;;HEAP;;;;;0.000000
Dias_Feriados;;HEAP;;;;;0.031250
DIPRES;;HEAP;;;;;1.968750
DistribucionDesDificil;;HEAP;;;;;0.000000
DocenteCapRedEnlace;;HEAP;;;;;0.007812
Documento_Condicion;;HEAP;;;;;0.000000
Documento_Dato;;HEAP;;;;;0.000000
