TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS
AccidentesDeTrabajo;aaaaaAccidentesDeTrabajo_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Establecimiento,Id_Funcionario,Id_Accidente,FechaAccidente
AdicionalDosSalud;aaaaaAdicionalDosSalud_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Dos_FechaContratoIsapre
AdicionalDosSalud;Dos_FechaContratoIsapre;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Dos_FechaContratoIsapre
AdicionalDosSalud;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
AdicionalDosSalud;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Afp;aaaaaAfp_PK;NONCLUSTERED;1;1;0;1;0;0;NULL;2026-06-04 09:11:44.943;0.015625;0.015625;0.007812;Id_Afp
Afp;Id_Afp;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Afp
Afp;Id_RegPrevisional;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_RegPrevisional
AguinaldoTemporal;aaaaaAguinaldoTemporal_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.054687;Id_Establecimiento,Id_Funcionario
AguinaldoTemporal;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.031250;Id_Establecimiento
AguinaldoTemporal;Id_EstablecimientoFun;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.039062;0.039062;0.039062;Id_EstablecimientoFun
AguinaldoTemporal;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.031250;Id_Funcionario
AguinaldoTemporal;Rut_Temporal;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.046875;Rut_Temporal
Anexo_Finiquito;aaAnexo_Finiquito_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario,Correlativo,Correlativo_Anexo
Anexo_Finiquito;Correlativo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Correlativo
Anexo_Finiquito;Correlativo_Anexo;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Correlativo_Anexo
Anexo_Finiquito;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
Anexo_Finiquito;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Funcionario
Anexo_PlanCta;aaAnexo_PlanCta_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Codigo_Cuenta,Id_TipoContrato,Id_Haber,Id_Establecimiento
Anexo_PlanCta_Privado;aaAnexo_PlanCta_Privado_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Codigo_Cuenta,Id_HaberDcto,Tipo_Cuenta,Id_Proyecto
Anexo_PlanCta_Privado;Codigo_Cuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Codigo_Cuenta
Anexo_PlanCta_Privado;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
Anexo_PlanCta_Privado;Id_HaberDcto;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_HaberDcto
Anexo_PlanCta_Privado;Tipo_Cuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Tipo_Cuenta
AnexoPlanCuentaPrivado;aaaaaAnexoPlanCuentaPrivado_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Ano_Proceso,Mes_Proceso,Id_Establecimiento,Codigo_Cuenta
AnexoPlanCuentaPrivado;AnoProceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Ano_Proceso
AnexoPlanCuentaPrivado;Codigo_Cuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Codigo_Cuenta
AnexoPlanCuentaPrivado;MesProceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Mes_Proceso
AnexoPlanCuentaPrivado;Rut;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
AnexoPlandeCuenta;aaAnexoPlandeCuenta_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.015625;Ano_Proceso,Mes_Proceso,Codigo_Area,CodigoCuenta
AnexoPlandeCuenta;Ano_Proceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Ano_Proceso
AnexoPlandeCuenta;Codigo_Area;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Codigo_Area
AnexoPlandeCuenta;CodigoCuenta;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.015625;CodigoCuenta
AnexoPlandeCuenta;Mes_Proceso;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Mes_Proceso
Anotaciones;aaaaaAnotaciones_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario,Id_Establecimiento,Id_TipoAnotacion,Id_Merito_Demerito
Anotaciones;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Establecimiento
Anotaciones;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Funcionario
Anotaciones;Id_Merito_Demerito;NONCLUSTERED;0;1;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_Merito_Demerito
Anotaciones;Id_TipoAnotacion;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.015625;0.015625;0.007812;Id_TipoAnotacion
Antecedentes;aaaaaAntecedentes_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.382812;0.257812;0.242187;Id_Establecimiento,Id_Funcionario,Id_Antecedentes
Antecedentes;Id_Antecedentes;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.195312;0.125000;0.109375;Id_Antecedentes
Antecedentes;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.320312;0.203125;0.187500;Id_Establecimiento
Antecedentes;Id_Funcionario;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.265625;0.187500;0.164062;Id_Funcionario
AperturaDeCuentas;aaAperturaDeCuentas_PK;NONCLUSTERED;1;1;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento,Id_Funcionario
AperturaDeCuentas;Id_Establecimiento;NONCLUSTERED;0;0;NULL;NULL;NULL;NULL;NULL;NULL;0.000000;0.000000;0.000000;Id_Establecimiento
