TABLA;INDICE;TYPE_DESC;IS_PRIMARY_KEY;IS_UNIQUE;USER_SEEKS;USER_SCANS;USER_LOOKUPS;USER_UPDATES;LAST_USER_SEEK;LAST_USER_SCAN;TAMANO-TOTAL;USED-PAGES;DATA-PAGES;ATRIBUTOS;BUSQUEDAS;EVALUACION_INDICE;LARGO_ATRIBUTOS;PESO_GRUPO
HistoricoMovLiquidacion;aaaaaHistoricoMovLiquidacio_PK;NONCLUSTERED;1;1;5346.0;0.0;0.0;5346.0;2026-06-04 09:11:44.660;;68.632812;68.539062;68.265625;Id_Establecimiento,Id_Funcionario,Tipo_HaberDcto,Id_HaberDcto,Mes,Ano;5346.0;Beneficio Busqueda;6;68.539062
HistoricoMovLiquidacion;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;5346.0;;;33.890625;33.835937;33.617187;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;68.539062
HistoricoFicha_EducacionHrs;aaaaaHistoricoFicha_Educaci_PK;NONCLUSTERED;1;1;9248.0;0.0;0.0;9247.0;2026-06-04 09:11:45.383;;48.070312;47.992187;47.828125;Id_Establecimiento,Id_Funcionario,Tipo_Horas,Mes,Ano;9248.0;Beneficio Busqueda;5;47.992187
HistoricoFicha_EducacionHrs;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;9247.0;;;30.445312;30.398437;30.218750;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;47.992187
HistoricoFichaEducacion;aaaaaHistoricoFichaEducacio_PK;NONCLUSTERED;1;1;6859.0;0.0;0.0;6858.0;2026-06-04 09:11:45.383;;32.757812;32.734375;32.625000;Id_Establecimiento,Id_Funcionario,Mes,Ano;6859.0;Beneficio Busqueda;4;32.734375
HistoricoFichaEducacion;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;6858.0;;;22.445312;22.398437;22.265625;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;32.734375
HistoricoFichaFuncionario;aaaaaHistoricoFichaFunciona_PK;NONCLUSTERED;1;1;6858.0;0.0;0.0;6858.0;2026-06-04 09:09:22.060;;32.757812;32.734375;32.625000;Id_Establecimiento,Id_Funcionario,Mes,Ano;6858.0;Beneficio Busqueda;4;32.734375
HistoricoFichaFuncionario;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;6858.0;;;22.640625;22.609375;22.468750;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;32.734375
Previred;aaPrevired_PK;NONCLUSTERED;1;1;1.0;0.0;0.0;0.0;2026-06-04 09:08:39.980;;23.828125;23.796875;23.679687;K1_Id_Remuneracion,K1_Id_ProcesoPS,K1_Id_Establecimiento,K1_Id_Funcionario,K1_NroContrato,K1_Correlativo,K1_Mes,K1_Ano;1.0;Beneficio Busqueda;8;23.796875
Previred;K1_Id_Remuneracion;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;10.570312;10.546875;10.500000;K1_Id_Remuneracion;0.0;NO USO;1;23.796875
HistoricoCuentaBanco;aaaaaHistoricoCuentaBanco_PK;NONCLUSTERED;1;1;4427.0;0.0;0.0;4427.0;2026-06-04 09:09:22.047;;23.695312;23.632812;23.546875;Id_Establecimiento,Id_Funcionario,Mes,Ano;4427.0;Beneficio Busqueda;4;23.632812
HistoricoCuentaBanco;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;4427.0;;;16.453125;16.4375;16.328125;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;23.632812
HistoricoFichaLeyesPrevisional;aaHistoricoFichaLeyesPrev_PK;NONCLUSTERED;1;1;4258.0;0.0;0.0;4258.0;2026-06-04 09:10:59.767;;17.882812;17.828125;17.757812;Id_Establecimiento,Id_Funcionario,Mes,Ano;4258.0;Beneficio Busqueda;4;17.828125
HistoricoFichaLeyesPrevisional;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;4258.0;;;12.828125;12.820312;12.726562;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;17.828125
HistoricoLiquidacionHrs;aaaaaHistoricoLiquidacionHr_PK;NONCLUSTERED;1;1;2047.0;1.0;0.0;2047.0;2026-06-04 09:11:17.923;2026-06-04 09:11:45.383;17.507812;17.484375;17.414062;Id_Establecimiento,Id_Funcionario,Tipo_Horas,Mes,Ano;2047.0;Beneficio Busqueda;5;17.484375
HistoricoLiquidacionHrs;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;2047.0;;;11.007812;10.960937;10.890625;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;17.484375
HistoricoLiquidacion;aaaaaHistoricoLiquidacion_PK;NONCLUSTERED;1;1;1541.0;0.0;0.0;1541.0;2026-06-04 09:11:07.963;;12.632812;12.5625;12.507812;Id_Establecimiento,Id_Funcionario,Mes,Ano;1541.0;Beneficio Busqueda;4;12.5625
HistoricoLiquidacion;Id_Estable;NONCLUSTERED;0;0;0.0;0.0;0.0;1541.0;;;8.570312;8.53125;8.476562;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;12.5625
Historial_Contratos;aaaaaHistorial_Contratos_PK;NONCLUSTERED;1;1;2100.0;0.0;0.0;1641.0;2026-06-04 09:13:41.833;;8.132812;8.09375;8.054687;Id_Funcionario,Id_Establecimiento,Id_Correlativo;2100.0;Beneficio Busqueda;3;8.09375
Historial_Contratos;Id_funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;1641.0;;;4.820312;4.78125;4.750000;Id_Funcionario;0.0;SIN BUSQUEDAS;1;8.09375
Totales_PlanillaRemuneraciones;aaTotales_PlanillaRemuneraciones_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;2.195312;2.132812;2.101562;Id_Establecimiento,Id_Funcionario,Id_Remuneracion,Id_ProcesoPs,Tipo_Hd,Id_Hd,DescNoEfec;0.0;NO USO;7;2.132812
Totales_PlanillaRemuneraciones;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;1.695312;1.59375;1.578125;Id_Establecimiento;0.0;NO USO;1;2.132812
PermisosLegales;aaaaaPermisosLegales_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;1.882812;1.773437;1.757812;Id_Establecimiento,Id_Funcionario,Periodo;0.0;NO USO;3;1.773437
PermisosLegales;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;1.570312;1.492187;1.476562;Id_Establecimiento;0.0;NO USO;1;1.773437
PermisosAdministrativos;aaaaaPermisosAdministrativo_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.515625;0.40625;0.382812;Id_Funcionario,Id_Establecimiento,Periodo,Correlativo;0.0;NO USO;4;0.40625
PermisosAdministrativos;Id_Funcionario;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.390625;0.25;0.226562;Id_Funcionario;0.0;NO USO;1;0.40625
MovimientoHaberDctos;aaaaaMovimientoHaberDctos_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;1.0;;;0.445312;0.359375;0.343750;Id_Establecimiento,Id_Funcionario,Tipo_Hd,Id_Hd;0.0;SIN BUSQUEDAS;4;0.398437
MovimientoHaberDctos;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;1.0;;;0.507812;0.398437;0.382812;Id_Establecimiento;0.0;SIN BUSQUEDAS;1;0.398437
Antecedentes;aaaaaAntecedentes_PK;NONCLUSTERED;1;1;0.0;0.0;0.0;0.0;;;0.382812;0.257812;0.242187;Id_Establecimiento,Id_Funcionario,Id_Antecedentes;0.0;NO USO;3;0.257812
Antecedentes;Id_Establecimiento;NONCLUSTERED;0;0;0.0;0.0;0.0;0.0;;;0.320312;0.203125;0.187500;Id_Establecimiento;0.0;NO USO;1;0.257812
